Von,Nach,Dringlichkeit,Link_Projektbeschreibung,Verkehrsträger,Stimmen,Quote_notwendig,notwendig_ja,notwendig_nein,notwendig_weiss_nicht,betroffen_häufig,betroffe_selten,betroffe_nie
ABS Münster - Lünen,,PB,http://bvwp-projekte.de/schiene/2-049-V01/2-049-V01.html,schiene,195,0.949,185,6,4,123,60,12
ABS Lübeck / Hagenow Land - Rostock - Stralsund,,FD,,schiene,210,0.852,179,21,10,99,86,25
ABS Stelle - Lüneburg,,FD,,schiene,103,0.932,96,3,4,73,21,9
ABS/NBS Nürnberg - Erfurt,,FD,,schiene,255,0.812,207,43,5,151,72,32
NBS/ABS Erfurt - Leipzig / Halle,,FD,,schiene,140,0.843,118,21,1,81,44,15
ABS Karlsruhe - Stuttgart - Nürnberg - Leipzig / Dresden,,FD,,schiene,261,0.95,248,9,4,154,93,14
ABS Berlin - Frankfurt/Oder - Grenze D/PL,,FD,,schiene,219,0.863,189,18,12,97,90,32
ABS Ludwigshafen - Saarbrücken. Kehl - Appenweier,,FD,,schiene,109,0.908,99,7,3,70,33,6
ABS/NBS Stuttgart - Ulm - Augsburg,,FD,,schiene,557,0.67,373,173,11,305,210,42
NBS/ABS Nürnberg - Ingolstadt - München,,FD,,schiene,141,0.943,133,5,3,99,38,4
Ausbau von Knoten (Berlin. Dresden. Erfurt. Halle / Leipzig. Magdeburg),,FD,,schiene,182,0.956,174,8,,124,53,5
ABS Oldenburg - Wilhelmshaven /Langwedel - Uelzen,,FD,,schiene,130,0.877,114,9,7,53,48,29
ABS (Amsterdam -) Grenze D/NL - Emmerich - Oberhausen (1. u. 2. Baustufe),,FD,,schiene,137,0.854,117,14,6,61,56,20
ABS Augsburg - München (2. Baustufe),,FD,,schiene,136,0.89,121,12,3,94,34,8
ABS/NBS Karlsruhe - Offenburg - Freiburg - Basel (1. u. 2. Baustufe),,FD,,schiene,156,0.962,150,5,1,101,54,1
ABS Berlin - Dresden (1. u. 2. Baustufe),,FD,,schiene,362,0.948,343,17,2,208,125,29
ABS Berlin - Görlitz,,FD,,schiene,162,0.84,136,23,3,79,63,20
ABS München - Lindau - Grenze D/A,,FD,,schiene,229,0.913,209,15,5,131,78,20
AK Zehlendorf,AS Hüttenweg,WB*,http://bvwp-projekte.de/strasse/A115-G40-BE/A115-G40-BE.html,strasse,773,0.668,516,217,40,559,192,22
